PLOT,TREATMENT,REP,DISTREP,SAMP,DATE,PLANTDIST,NRSTHT,POADIST,POAHT,Mortality
1,CTL,13GC,4,4,8/05/2012,2,1,10,6,0
1,CTL,14GC,1,4,8/05/2012,2,4,2,4,0
1,CTL,14GC,2,4,8/05/2012,2,4,2,4,0
1,CTL,14GC,3,4,8/05/2012,1,3,1,3,0
1,CTL,14GC,4,4,8/05/2012,1,3,1,3,0
2,OTC,21GC,1,4,8/05/2012,2,1,5,7,0
2,OTC,21GC,2,4,8/05/2012,3,1,8,9,0
2,OTC,21GC,3,4,8/05/2012,4,3,6,6,0
2,OTC,21GC,4,4,8/05/2012,2,4,2,4,0
2,OTC,22GC,1,4,8/05/2012,2,1,13,7,0
2,OTC,22GC,2,4,8/05/2012,2,2,13,8,0
2,OTC,22GC,3,4,8/05/2012,3,3,22,7,0
2,OTC,22GC,4,4,8/05/2012,2,1,13,2,0
2,OTC,23GC,1,4,8/05/2012,3,13,3,13,0
2,OTC,23GC,2,4,8/05/2012,2,5,6,8,0
2,OTC,23GC,3,4,8/05/2012,4,5,4,5,0
2,OTC,23GC,4,4,8/05/2012,3,1,NA,NA,0
2,OTC,24GC,1,4,8/05/2012,0,7,0,7,0
2,OTC,24GC,2,4,8/05/2012,0,2,0,2,0
2,OTC,24GC,3,4,8/05/2012,1,7,1,7,0
2,OTC,24GC,4,4,8/05/2012,6,7,6,7,0
3,CTL,31GC,1,4,8/05/2012,2,1,6,3,0
3,CTL,31GC,2,4,8/05/2012,2,2,2,2,0
3,CTL,31GC,3,4,8/05/2012,3,1,4,4,0
3,CTL,31GC,4,4,8/05/2012,3,2,6,6,0
3,CTL,32GC,1,4,8/05/2012,2,2,8,6,0
3,CTL,32GC,2,4,8/05/2012,6,5,6,5,0
3,CTL,32GC,3,4,8/05/2012,5,12,5,12,0
3,CTL,32GC,4,4,8/05/2012,5,5,5,5,0
3,CTL,33GC,1,4,8/05/2012,1,1,6,3,0
3,CTL,33GC,2,4,8/05/2012,1,1,6,3,0
3,CTL,33GC,3,4,8/05/2012,2,1,15,4,0
3,CTL,33GC,4,4,8/05/2012,3,1,11,11,0
3,CTL,34GC,1,4,8/05/2012,4,1,12,3,0
3,CTL,34GC,2,4,8/05/2012,3,4,3,4,0
3,CTL,34GC,3,4,8/05/2012,2,1,8,8,0
3,CTL,34GC,4,4,8/05/2012,3,1,7,6,0
4,OTC,41GC,1,4,8/05/2012,NA,NA,NA,NA,1
4,OTC,41GC,2,4,8/05/2012,NA,NA,NA,NA,1
4,OTC,41GC,3,4,8/05/2012,NA,NA,NA,NA,1
4,OTC,41GC,4,4,8/05/2012,NA,NA,NA,NA,1
4,OTC,42GC,1,4,8/05/2012,0,1,20,8,0
4,OTC,42GC,2,4,8/05/2012,0,1,18,6,0
4,OTC,42GC,3,4,8/05/2012,0,1,16,6,0
4,OTC,42GC,4,4,8/05/2012,0,1,11,7,0
4,OTC,43GC,1,4,8/05/2012,1,4,1,4,0
4,OTC,43GC,2,4,8/05/2012,1,2,7,8,0
4,OTC,43GC,3,4,8/05/2012,2,2,2,2,0
4,OTC,43GC,4,4,8/05/2012,5,2,12,9,0
4,OTC,44GC,1,4,8/05/2012,3,4,3,4,0
4,OTC,44GC,2,4,8/05/2012,3,3,12,4,0
4,OTC,44GC,3,4,8/05/2012,3,3,14,5,0
4,OTC,44GC,4,4,8/05/2012,4,4,6,6,0
5,CTL,51GC,1,4,8/05/2012,2,3,2,3,0
5,CTL,51GC,2,4,8/05/2012,2,1,11,2,0
5,CTL,51GC,3,4,8/05/2012,2,2,2,2,0
5,CTL,51GC,4,4,8/05/2012,3,2,23,3,0
5,CTL,52GC,1,4,8/05/2012,NA,NA,NA,NA,1
5,CTL,52GC,2,4,8/05/2012,NA,NA,NA,NA,1
5,CTL,52GC,3,4,8/05/2012,NA,NA,NA,NA,1
5,CTL,52GC,4,4,8/05/2012,NA,NA,NA,NA,1
5,CTL,53GC,1,4,8/05/2012,0,4,0,4,0
5,CTL,53GC,2,4,8/05/2012,1,2,6,4,0
5,CTL,53GC,3,4,8/05/2012,2,1,8,5,0
5,CTL,53GC,4,4,8/05/2012,3,1,13,5,0
5,CTL,54GC,1,4,8/05/2012,0,1,10,3,0
5,CTL,54GC,2,4,8/05/2012,0,1,10,2,0
5,CTL,54GC,3,4,8/05/2012,2,2,19,3,0
5,CTL,54GC,4,4,8/05/2012,2,2,19,5,0
6,OTC,61GC,1,4,8/05/2012,3,7,3,7,0
6,OTC,61GC,2,4,8/05/2012,3,5,3,5,0
6,OTC,61GC,3,4,8/05/2012,3,1,6,8,0
6,OTC,61GC,4,4,8/05/2012,7,6,7,6,0
6,OTC,62GC,1,4,8/05/2012,5,12,5,12,0
6,OTC,62GC,2,4,8/05/2012,5,9,10,10,0
6,OTC,62GC,3,4,8/05/2012,5,7,6,6,0
6,OTC,62GC,4,4,8/05/2012,3,2,6,12,0
6,OTC,63GC,1,4,8/05/2012,5,2,8,5,0
6,OTC,63GC,2,4,8/05/2012,4,6,4,6,0
6,OTC,63GC,3,4,8/05/2012,6,3,25,5,0
6,OTC,63GC,4,4,8/05/2012,0,4,0,4,0
6,OTC,64GC,1,4,8/05/2012,0,3,0,3,0
6,OTC,64GC,2,4,8/05/2012,2,1,3,2,0
6,OTC,64GC,3,4,8/05/2012,6,4,12,3,0
6,OTC,64GC,4,4,8/05/2012,4,6,7,3,0
7,CTL,71GC,1,4,8/05/2012,2,3,8,5,0
7,CTL,71GC,2,4,8/05/2012,3,5,3,5,0
7,CTL,71GC,3,4,8/05/2012,3,2,6,5,0
7,CTL,71GC,4,4,8/05/2012,1,1,11,5,0
7,CTL,72GC,1,4,8/05/2012,0,6,0,6,0
7,CTL,72GC,2,4,8/05/2012,3,1,6,5,0
7,CTL,72GC,3,4,8/05/2012,4,5,4,5,0
7,CTL,72GC,4,4,8/05/2012,1,3,1,3,0
7,CTL,73GC,1,4,8/05/2012,NA,NA,NA,NA,1
7,CTL,73GC,2,4,8/05/2012,NA,NA,NA,NA,1
7,CTL,73GC,3,4,8/05/2012,NA,NA,NA,NA,1
7,CTL,73GC,4,4,8/05/2012,NA,NA,NA,NA,1
7,CTL,74GC,1,4,8/05/2012,3,1,3,6,0
7,CTL,74GC,2,4,8/05/2012,0,2,8,4,0
7,CTL,74GC,3,4,8/05/2012,3,3,7,4,0
7,CTL,74GC,4,4,8/05/2012,2,2,6,4,0
8,OTC,81GC,1,4,8/05/2012,0,5,0,5,0
8,OTC,81GC,2,4,8/05/2012,5,7,5,7,0
8,OTC,81GC,3,4,8/05/2012,15,2,25,11,0
8,OTC,81GC,4,4,8/05/2012,10,8,15,7,0
8,OTC,82GC,1,4,8/05/2012,9,16,9,16,0
8,OTC,82GC,2,4,8/05/2012,4,3,15,2,0
8,OTC,82GC,3,4,8/05/2012,9,2,13,5,0
8,OTC,82GC,4,4,8/05/2012,5,3,8,8,0
8,OTC,83GC,1,4,8/05/2012,9,2,18,8,0
8,OTC,83GC,2,4,8/05/2012,5,7,5,7,0
8,OTC,83GC,3,4,8/05/2012,4,2,NA,NA,0
8,OTC,83GC,4,4,8/05/2012,5,4,5,4,0
8,OTC,84GC,1,4,8/05/2012,3,2,7,10,0
8,OTC,84GC,2,4,8/05/2012,7,5,7,5,0
8,OTC,84GC,3,4,8/05/2012,2,2,8,2,0
8,OTC,84GC,4,4,8/05/2012,9,5,18,10,0
9,CTL,91GC,1,4,8/05/2012,5,3,5,3,0
9,CTL,91GC,2,4,8/05/2012,0,1,15,5,0
9,CTL,91GC,3,4,8/05/2012,4,1,6,6,0
9,CTL,91GC,4,4,8/05/2012,6,1,10,1,0
9,CTL,92GC,1,4,8/05/2012,4,1,8,4,0
9,CTL,92GC,2,4,8/05/2012,1,1,8,7,0
9,CTL,92GC,3,4,8/05/2012,4,1,18,7,0
9,CTL,92GC,4,4,8/05/2012,2,1,13,6,0
9,CTL,93GC,1,4,8/05/2012,1,1,20,7,0
9,CTL,93GC,2,4,8/05/2012,3,2,7,5,0
9,CTL,93GC,3,4,8/05/2012,2,2,6,3,0
9,CTL,93GC,4,4,8/05/2012,3,2,10,4,0
9,CTL,94GC,1,4,8/05/2012,1,2,1,2,0
9,CTL,94GC,2,4,8/05/2012,1,1,8,4,0
9,CTL,94GC,3,4,8/05/2012,2,1,6,5,0
9,CTL,94GC,4,4,8/05/2012,1,3,1,3,0
10,OTC,101GC,1,4,8/05/2012,2,2,12,4,0
10,OTC,101GC,2,4,8/05/2012,2,2,2,2,0
10,OTC,101GC,3,4,8/05/2012,2,1,2,1,0
10,OTC,101GC,4,4,8/05/2012,2,1,11,5,0
10,OTC,102GC,1,4,8/05/2012,2,4,1,1,0
10,OTC,102GC,2,4,8/05/2012,6,2,6,2,0
10,OTC,102GC,3,4,8/05/2012,4,4,15,6,0
10,OTC,102GC,4,4,8/05/2012,6,1,NA,NA,0
10,OTC,103GC,1,4,8/05/2012,1,3,6,3,0
10,OTC,103GC,2,4,8/05/2012,3,4,8,7,0
10,OTC,103GC,3,4,8/05/2012,1,2,5,3,0
10,OTC,103GC,4,4,8/05/2012,4,2,10,3,0
10,OTC,104GC,1,4,8/05/2012,3,3,NA,NA,0
10,OTC,104GC,2,4,8/05/2012,1,3,22,3,0
10,OTC,104GC,3,4,8/05/2012,0,6,11,5,0
10,OTC,104GC,4,4,8/05/2012,2,2,15,6,0
11,CTL,111GC,1,4,8/05/2012,3,1,14,2,0
11,CTL,111GC,2,4,8/05/2012,1,1,15,7,0
11,CTL,111GC,3,4,8/05/2012,1,1,7,3,0
11,CTL,111GC,4,4,8/05/2012,6,3,9,4,0
11,CTL,112GC,1,4,8/05/2012,4,4,4,4,0
11,CTL,112GC,2,4,8/05/2012,3,5,6,5,0
11,CTL,112GC,3,4,8/05/2012,2,1,12,3,0
11,CTL,112GC,4,4,8/05/2012,2,4,5,3,0
11,CTL,113GC,1,4,8/05/2012,5,10,5,10,0
11,CTL,113GC,2,4,8/05/2012,3,3,NA,NA,0
11,CTL,113GC,3,4,8/05/2012,7,3,10,3,0
11,CTL,113GC,4,4,8/05/2012,3,2,NA,NA,0
11,CTL,114GC,1,4,8/05/2012,0,3,0,3,0
11,CTL,114GC,2,4,8/05/2012,3,2,3,2,0
11,CTL,114GC,3,4,8/05/2012,3,2,10,3,0
11,CTL,114GC,4,4,8/05/2012,5,4,10,3,0
12,OTC,121GC,1,4,8/05/2012,3,2,7,7,0
12,OTC,121GC,2,4,8/05/2012,2,2,7,4,0
12,OTC,121GC,3,4,8/05/2012,1,1,9,9,0
12,OTC,121GC,4,4,8/05/2012,3,2,9,12,0
12,OTC,122GC,1,4,8/05/2012,NA,NA,NA,NA,1
12,OTC,122GC,2,4,8/05/2012,NA,NA,NA,NA,1
12,OTC,122GC,3,4,8/05/2012,NA,NA,NA,NA,1
12,OTC,122GC,4,4,8/05/2012,NA,NA,NA,NA,1
12,OTC,123GC,1,4,8/05/2012,6,2,9,6,0
12,OTC,123GC,2,4,8/05/2012,4,6,4,6,0
12,OTC,123GC,3,4,8/05/2012,5,3,9,4,0
12,OTC,123GC,4,4,8/05/2012,6,1,10,5,0
12,OTC,124GC,1,4,8/05/2012,4,9,4,9,0
12,OTC,124GC,2,4,8/05/2012,9,4,10,2,0
12,OTC,124GC,3,4,8/05/2012,1,1,12,5,0
12,OTC,124GC,4,4,8/05/2012,2,2,10,2,0
13,OTC,131GC,1,4,8/05/2012,1,1,7,10,0
13,OTC,131GC,2,4,8/05/2012,1,1,NA,NA,0
13,OTC,131GC,3,4,8/05/2012,1,1,19,6,0
13,OTC,131GC,4,4,8/05/2012,2,3,14,10,0
13,OTC,132GC,1,4,8/05/2012,2,1,10,5,0
13,OTC,132GC,2,4,8/05/2012,0,3,6,7,0
13,OTC,132GC,3,4,8/05/2012,9,11,9,11,0
13,OTC,132GC,4,4,8/05/2012,3,2,21,8,0
13,OTC,133GC,1,4,8/05/2012,4,3,4,3,0
13,OTC,133GC,2,4,8/05/2012,4,7,8,10,0
13,OTC,133GC,3,4,8/05/2012,5,9,5,9,0
13,OTC,133GC,4,4,8/05/2012,1,1,15,7,0
13,OTC,134GC,1,4,8/05/2012,1,4,7,5,0
13,OTC,134GC,2,4,8/05/2012,2,2,3,3,0
13,OTC,134GC,3,4,8/05/2012,1,1,13,11,0
13,OTC,134GC,4,4,8/05/2012,7,4,7,4,0
14,CTL,141GC,1,4,8/05/2012,4,1,11,5,0
14,CTL,141GC,2,4,8/05/2012,4,2,7,4,0
14,CTL,141GC,3,4,8/05/2012,2,1,NA,NA,0
14,CTL,141GC,4,4,8/05/2012,5,1,11,6,0
14,CTL,142GC,1,4,8/05/2012,1,1,3,5,0
14,CTL,142GC,2,4,8/05/2012,0,1,2,4,0
14,CTL,142GC,3,4,8/05/2012,1,1,10,4,0
14,CTL,142GC,4,4,8/05/2012,2,1,4,5,0
14,CTL,143GC,1,4,8/05/2012,7,6,7,6,0
14,CTL,143GC,2,4,8/05/2012,1,1,8,5,0
14,CTL,143GC,3,4,8/05/2012,2,2,14,8,0
14,CTL,143GC,4,4,8/05/2012,4,1,13,3,0
14,CTL,144GC,1,4,8/05/2012,2,1,8,2,0
14,CTL,144GC,2,4,8/05/2012,6,3,6,3,0
14,CTL,144GC,3,4,8/05/2012,5,1,11,3,0
14,CTL,144GC,4,4,8/05/2012,9,1,NA,NA,0
15,OTC,151GC,1,4,8/05/2012,NA,NA,NA,NA,1
15,OTC,151GC,2,4,8/05/2012,NA,NA,NA,NA,1
15,OTC,151GC,3,4,8/05/2012,NA,NA,NA,NA,1
15,OTC,151GC,4,4,8/05/2012,NA,NA,NA,NA,1
15,OTC,152GC,1,4,8/05/2012,NA,NA,NA,NA,1
15,OTC,152GC,2,4,8/05/2012,NA,NA,NA,NA,1
15,OTC,152GC,3,4,8/05/2012,NA,NA,NA,NA,1
15,OTC,152GC,4,4,8/05/2012,NA,NA,NA,NA,1
15,OTC,153GC,1,4,8/05/2012,NA,NA,NA,NA,1
15,OTC,153GC,2,4,8/05/2012,NA,NA,NA,NA,1
15,OTC,153GC,3,4,8/05/2012,NA,NA,NA,NA,1
15,OTC,153GC,4,4,8/05/2012,NA,NA,NA,NA,1
15,OTC,154GC,1,4,8/05/2012,6,9,6,9,0
15,OTC,154GC,2,4,8/05/2012,4,4,4,4,0
15,OTC,154GC,3,4,8/05/2012,3,3,9,6,0
15,OTC,154GC,4,4,8/05/2012,6,8,6,8,0
16,CTL,161GC,1,4,8/05/2012,1,1,16,5,0
16,CTL,161GC,2,4,8/05/2012,1,2,8,5,0
16,CTL,161GC,3,4,8/05/2012,4,1,17,7,0
16,CTL,161GC,4,4,8/05/2012,4,1,16,4,0
16,CTL,162GC,1,4,8/05/2012,NA,NA,NA,NA,1
16,CTL,162GC,2,4,8/05/2012,NA,NA,NA,NA,1
16,CTL,162GC,3,4,8/05/2012,NA,NA,NA,NA,1
16,CTL,162GC,4,4,8/05/2012,NA,NA,NA,NA,1
16,CTL,163GC,1,4,8/05/2012,6,7,6,7,0
16,CTL,163GC,2,4,8/05/2012,3,2,7,4,0
16,CTL,163GC,3,4,8/05/2012,2,1,12,3,0
16,CTL,163GC,4,4,8/05/2012,2,1,9,6,0
16,CTL,164GC,1,4,8/05/2012,5,5,5,5,0
16,CTL,164GC,2,4,8/05/2012,2,2,5,10,0
16,CTL,164GC,3,4,8/05/2012,3,1,20,3,0
16,CTL,164GC,4,4,8/05/2012,2,3,11,3,0
17,OTC,171GC,1,4,8/05/2012,3,6,9,9,0
17,OTC,171GC,2,4,8/05/2012,1,3,1,3,0
17,OTC,171GC,3,4,8/05/2012,5,5,5,5,0
17,OTC,171GC,4,4,8/05/2012,2,2,8,3,0
17,OTC,172GC,1,4,8/05/2012,5,4,6,5,0
17,OTC,172GC,2,4,8/05/2012,3,4,3,4,0
17,OTC,172GC,3,4,8/05/2012,6,4,6,4,0
17,OTC,172GC,4,4,8/05/2012,4,3,4,3,0
17,OTC,173GC,1,4,8/05/2012,3,2,8,9,0
17,OTC,173GC,2,4,8/05/2012,4,5,4,5,0
17,OTC,173GC,3,4,8/05/2012,3,2,14,5,0
17,OTC,173GC,4,4,8/05/2012,6,3,21,7,0
17,OTC,174GC,1,4,8/05/2012,2,2,11,5,0
17,OTC,174GC,2,4,8/05/2012,8,10,8,10,0
17,OTC,174GC,3,4,8/05/2012,7,7,7,7,0
17,OTC,174GC,4,4,8/05/2012,4,3,NA,NA,0
18,CTL,181GC,1,4,8/05/2012,NA,NA,NA,NA,1
18,CTL,181GC,2,4,8/05/2012,NA,NA,NA,NA,1
18,CTL,181GC,3,4,8/05/2012,NA,NA,NA,NA,1
18,CTL,181GC,4,4,8/05/2012,NA,NA,NA,NA,1
18,CTL,182GC,1,4,8/05/2012,3,7,3,7,0
18,CTL,182GC,2,4,8/05/2012,2,3,13,5,0
18,CTL,182GC,3,4,8/05/2012,2,3,7,4,0
18,CTL,182GC,4,4,8/05/2012,1,1,11,7,0
18,CTL,183GC,1,4,8/05/2012,2,1,8,6,0
18,CTL,183GC,2,4,8/05/2012,4,4,4,4,0
18,CTL,183GC,3,4,8/05/2012,2,2,2,2,0
18,CTL,183GC,4,4,8/05/2012,2,2,2,2,0
18,CTL,184GC,1,4,8/05/2012,2,2,5,2,0
18,CTL,184GC,2,4,8/05/2012,2,1,17,2,0
18,CTL,184GC,3,4,8/05/2012,4,1,11,5,0
18,CTL,184GC,4,4,8/05/2012,2,1,12,3,0
19,CTL,191GC,1,4,8/05/2012,4,4,4,4,0
19,CTL,191GC,2,4,8/05/2012,1,4,11,6,0
19,CTL,191GC,3,4,8/05/2012,2,4,7,12,0
19,CTL,191GC,4,4,8/05/2012,2,2,9,6,0
19,CTL,192GC,1,4,8/05/2012,5,1,7,3,0
19,CTL,192GC,2,4,8/05/2012,4,4,20,4,0
19,CTL,192GC,3,4,8/05/2012,2,1,8,6,0
19,CTL,192GC,4,4,8/05/2012,3,3,8,10,0
19,CTL,193GC,1,4,8/05/2012,2,5,2,5,0
19,CTL,193GC,2,4,8/05/2012,3,6,3,6,0
19,CTL,193GC,3,4,8/05/2012,3,3,8,14,0
19,CTL,193GC,4,4,8/05/2012,3,2,3,2,0
19,CTL,194GC,1,4,8/05/2012,5,1,11,3,0
19,CTL,194GC,2,4,8/05/2012,3,1,11,6,0
19,CTL,194GC,3,4,8/05/2012,2,2,2,2,0
19,CTL,194GC,4,4,8/05/2012,3,2,20,5,0
20,OTC,201GC,1,4,8/05/2012,1,1,NA,NA,0
20,OTC,201GC,2,4,8/05/2012,1,4,14,4,0
20,OTC,201GC,3,4,8/05/2012,5,1,NA,NA,0
20,OTC,201GC,4,4,8/05/2012,6,8,6,8,0
20,OTC,202GC,1,4,8/05/2012,5,3,8,3,0
20,OTC,202GC,2,4,8/05/2012,4,1,16,4,0
20,OTC,202GC,3,4,8/05/2012,5,3,22,5,0
20,OTC,202GC,4,4,8/05/2012,3,3,15,9,0
20,OTC,203GC,1,4,8/05/2012,4,2,6,3,0
20,OTC,203GC,2,4,8/05/2012,2,2,16,10,0
20,OTC,203GC,3,4,8/05/2012,3,2,7,9,0
20,OTC,203GC,4,4,8/05/2012,2,2,11,4,0
20,OTC,204GC,1,4,8/05/2012,0,3,NA,NA,0
20,OTC,204GC,2,4,8/05/2012,4,5,4,5,0
20,OTC,204GC,3,4,8/05/2012,3,1,NA,NA,0
20,OTC,204GC,4,4,8/05/2012,4,1,14,8,0
21,OTC,211GC,1,4,8/05/2012,0,3,NA,NA,0
21,OTC,211GC,2,4,8/05/2012,4,1,7,8,0
21,OTC,211GC,3,4,8/05/2012,4,3,8,7,0
21,OTC,211GC,4,4,8/05/2012,2,1,12,4,0
21,OTC,212GC,1,4,8/05/2012,5,5,15,8,0
21,OTC,212GC,2,4,8/05/2012,2,1,NA,NA,0
21,OTC,212GC,3,4,8/05/2012,9,5,9,5,0
21,OTC,212GC,4,4,8/05/2012,10,5,10,5,0
21,OTC,213GC,1,4,8/05/2012,12,14,12,14,0
21,OTC,213GC,2,4,8/05/2012,6,7,6,7,0
21,OTC,213GC,3,4,8/05/2012,7,1,10,4,0
21,OTC,213GC,4,4,8/05/2012,6,1,NA,NA,0
21,OTC,214GC,1,4,8/05/2012,2,2,24,7,0
21,OTC,214GC,2,4,8/05/2012,0,2,18,4,0
21,OTC,214GC,3,4,8/05/2012,0,3,24,7,0
21,OTC,214GC,4,4,8/05/2012,0,3,NA,NA,0
22,CTL,221GC,1,4,8/05/2012,0,5,0,5,0
22,CTL,221GC,2,4,8/05/2012,1,5,1,5,0
22,CTL,221GC,3,4,8/05/2012,1,1,18,7,0
22,CTL,221GC,4,4,8/05/2012,2,1,8,6,0
22,CTL,222GC,1,4,8/05/2012,NA,NA,NA,NA,1
22,CTL,222GC,2,4,8/05/2012,NA,NA,NA,NA,1
22,CTL,222GC,3,4,8/05/2012,NA,NA,NA,NA,1
22,CTL,222GC,4,4,8/05/2012,NA,NA,NA,NA,1
22,CTL,223GC,1,4,8/05/2012,0,6,0,6,0
22,CTL,223GC,2,4,8/05/2012,1,6,1,6,0
22,CTL,223GC,3,4,8/05/2012,2,3,9,5,0
22,CTL,223GC,4,4,8/05/2012,3,3,8,5,0
22,CTL,224GC,1,4,8/05/2012,1,1,NA,NA,0
22,CTL,224GC,2,4,8/05/2012,6,1,NA,NA,0
22,CTL,224GC,3,4,8/05/2012,2,1,7,2,0
22,CTL,224GC,4,4,8/05/2012,1,1,NA,NA,0
23,CTL,231GC,1,4,8/05/2012,0,4,0,4,0
23,CTL,231GC,2,4,8/05/2012,2,1,8,1,0
23,CTL,231GC,3,4,8/05/2012,1,2,13,6,0
23,CTL,231GC,4,4,8/05/2012,3,1,9,4,0
23,CTL,232GC,1,4,8/05/2012,3,1,9,7,0
23,CTL,232GC,2,4,8/05/2012,2,1,12,3,0
23,CTL,232GC,3,4,8/05/2012,6,9,6,9,0
23,CTL,232GC,4,4,8/05/2012,1,1,11,7,0
23,CTL,233GC,1,4,8/05/2012,1,3,7,7,0
23,CTL,233GC,2,4,8/05/2012,2,1,6,1,0
23,CTL,233GC,3,4,8/05/2012,4,4,11,3,0
23,CTL,233GC,4,4,8/05/2012,8,1,24,4,0
23,CTL,234GC,1,4,8/05/2012,NA,NA,NA,NA,1
23,CTL,234GC,2,4,8/05/2012,NA,NA,NA,NA,1
23,CTL,234GC,3,4,8/05/2012,NA,NA,NA,NA,1
23,CTL,234GC,4,4,8/05/2012,NA,NA,NA,NA,1
24,OTC,241GC,1,4,8/05/2012,4,7,4,7,0
24,OTC,241GC,2,4,8/05/2012,1,2,1,2,0
24,OTC,241GC,3,4,8/05/2012,5,3,9,7,0
24,OTC,241GC,4,4,8/05/2012,4,1,11,4,0
24,OTC,242GC,1,4,8/05/2012,1,1,10,4,0
24,OTC,242GC,2,4,8/05/2012,1,4,5,5,0
24,OTC,242GC,3,4,8/05/2012,3,2,NA,NA,0
24,OTC,242GC,4,4,8/05/2012,8,7,12,14,0
24,OTC,243GC,1,4,8/05/2012,1,2,9,6,0
24,OTC,243GC,2,4,8/05/2012,6,3,9,2,0
24,OTC,243GC,3,4,8/05/2012,9,1,11,5,0
24,OTC,243GC,4,4,8/05/2012,8,4,10,6,0
24,OTC,244GC,1,4,8/05/2012,0,4,NA,NA,0
24,OTC,244GC,2,4,8/05/2012,0,3,0,3,0
24,OTC,244GC,3,4,8/05/2012,7,2,NA,NA,0
24,OTC,244GC,4,4,8/05/2012,8,1,NA,NA,0
25,CTL,251GC,1,4,8/05/2012,5,1,17,5,0
25,CTL,251GC,2,4,8/05/2012,1,2,5,5,0
25,CTL,251GC,3,4,8/05/2012,4,1,6,4,0
25,CTL,251GC,4,4,8/05/2012,1,2,NA,NA,0
25,CTL,252GC,1,4,8/05/2012,5,3,5,3,0
25,CTL,252GC,2,4,8/05/2012,0,1,4,5,0
25,CTL,252GC,3,4,8/05/2012,5,3,5,3,0
25,CTL,252GC,4,4,8/05/2012,1,1,9,3,0
25,CTL,253GC,1,4,8/05/2012,1,6,1,6,0
25,CTL,253GC,2,4,8/05/2012,6,6,6,6,0
25,CTL,253GC,3,4,8/05/2012,5,6,5,6,0
25,CTL,253GC,4,4,8/05/2012,7,7,7,7,0
25,CTL,254GC,1,4,8/05/2012,0,2,0,2,0
25,CTL,254GC,2,4,8/05/2012,1,1,2,4,0
25,CTL,254GC,3,4,8/05/2012,1,1,5,1,0
25,CTL,254GC,4,4,8/05/2012,3,1,6,2,0
26,OTC,261GC,1,4,8/05/2012,6,1,NA,NA,0
26,OTC,261GC,2,4,8/05/2012,1,3,6,11,0
26,OTC,261GC,3,4,8/05/2012,4,1,17,4,0
26,OTC,261GC,4,4,8/05/2012,3,3,10,10,0
26,OTC,262GC,1,4,8/05/2012,2,2,7,2,0
26,OTC,262GC,2,4,8/05/2012,2,1,5,6,0
26,OTC,262GC,3,4,8/05/2012,1,1,NA,NA,0
26,OTC,262GC,4,4,8/05/2012,3,5,7,7,0
26,OTC,263GC,1,4,8/05/2012,1,4,15,9,0
26,OTC,263GC,2,4,8/05/2012,3,3,3,3,0
26,OTC,263GC,3,4,8/05/2012,3,1,22,5,0
26,OTC,263GC,4,4,8/05/2012,7,8,7,8,0
26,OTC,264GC,1,4,8/05/2012,2,3,14,7,0
26,OTC,264GC,2,4,8/05/2012,3,3,6,6,0
26,OTC,264GC,3,4,8/05/2012,5,1,9,4,0
26,OTC,264GC,4,4,8/05/2012,3,1,13,11,0
27,CTL,271GC,1,4,8/05/2012,NA,NA,NA,NA,1
27,CTL,271GC,2,4,8/05/2012,NA,NA,NA,NA,1
27,CTL,271GC,3,4,8/05/2012,NA,NA,NA,NA,1
27,CTL,271GC,4,4,8/05/2012,NA,NA,NA,NA,1
27,CTL,272GC,1,4,8/05/2012,1,1,6,5,0
27,CTL,272GC,2,4,8/05/2012,2,3,6,6,0
27,CTL,272GC,3,4,8/05/2012,3,1,18,4,0
27,CTL,272GC,4,4,8/05/2012,1,3,3,5,0
27,CTL,273GC,1,4,8/05/2012,0,1,5,6,0
27,CTL,273GC,2,4,8/05/2012,5,2,NA,NA,0
27,CTL,273GC,3,4,8/05/2012,0,2,19,5,0
27,CTL,273GC,4,4,8/05/2012,2,1,10,7,0
27,CTL,274GC,1,4,8/05/2012,3,5,6,11,0
27,CTL,274GC,2,4,8/05/2012,4,1,5,12,0
27,CTL,274GC,3,4,8/05/2012,6,8,3,2,0
27,CTL,274GC,4,4,8/05/2012,7,8,7,8,0
28,OTC,281GC,1,4,8/05/2012,0,1,12,14,0
28,OTC,281GC,2,4,8/05/2012,2,4,NA,NA,0
28,OTC,281GC,3,4,8/05/2012,1,1,13,5,0
28,OTC,281GC,4,4,8/05/2012,4,4,23,11,0
28,OTC,282GC,1,4,8/05/2012,3,4,3,4,0
28,OTC,282GC,2,4,8/05/2012,3,2,11,2,0
28,OTC,282GC,3,4,8/05/2012,6,3,6,3,0
28,OTC,282GC,4,4,8/05/2012,4,6,4,6,0
28,OTC,283GC,1,4,8/05/2012,2,1,NA,NA,0
28,OTC,283GC,2,4,8/05/2012,6,3,NA,NA,0
28,OTC,283GC,3,4,8/05/2012,6,4,13,9,0
28,OTC,283GC,4,4,8/05/2012,4,9,4,9,0
28,OTC,284GC,1,4,8/05/2012,0,2,4,5,0
28,OTC,284GC,2,4,8/05/2012,1,2,13,4,0
28,OTC,284GC,3,4,8/05/2012,4,5,4,5,0
28,OTC,284GC,4,4,8/05/2012,3,2,7,7,0
29,CTL,291GC,1,4,8/05/2012,NA,NA,NA,NA,1
29,CTL,291GC,2,4,8/05/2012,NA,NA,NA,NA,1
29,CTL,291GC,3,4,8/05/2012,NA,NA,NA,NA,1
